ticker,return_1y,return_6m,return_1m,volatility,momentum,ma_50,ma_200,sector,market_cap,price,dividend,avg_volume
HEG.NS,0.7239136284959509,0.2872294636515828,0.09723249484692112,0.0253115837839961,17.45001220703125,562.5730004882812,527.0377239990235,Industrials,114271649792,592.15,0.31,2295343
HBLENGINE.NS,0.5247769269573803,-0.11430550926788917,-0.11839166342716158,0.03173828617317103,-104.95086669921875,801.7221838378906,766.5866961669922,Industrials,190821007360,688.4,0.29,2120807
HCLTECH.NS,-0.11647678119561888,-0.029448582374434436,-0.17981837037282344,0.01574179391337897,-307.300048828125,1597.3856811523438,1556.0868591308595,Technology,3763021545472,1390.8,3.93,2783806
HDFCAMC.NS,0.5029621738250961,-0.003844041735310269,0.08160752586272906,0.01761491656266438,124.60009765625,2651.6719970703125,2675.2804357910154,Financial Services,1167354757120,2725.5,1.63,959634
HDFCBANK.NS,0.06727092513817329,-0.059005847855694314,-0.03637340628783293,0.009563893520390861,-35.64996337890625,943.1109985351562,971.7382788085938,Financial Services,13766888521728,894.65,1.22,24849917
HDFCLIFE.NS,0.17513438819596874,-0.06133019407369613,-0.008618314354266417,0.012284558224406654,-7.8499755859375,734.862998046875,757.741450805664,Financial Services,1563880062976,725.0,0.29,2633394
HFCL.NS,-0.16958674751668468,-0.0168181986806581,0.004955492418977299,0.024792823837782647,0.9300003051757812,67.23740028381347,74.81862493515014,Technology,105445220352,68.91,0.14,24473299
HAPPSTMNDS.NS,-0.4729652508318642,-0.35055193463556134,-0.11707787762716747,0.01768684016251159,-61.850006103515625,420.1179992675781,526.958095703125,Technology,54774267904,364.6,1.72,421394
HAVELLS.NS,-0.029683859280295762,-0.0805076821851349,0.08832684824902724,0.013876827899791057,-23.25146484375,1393.3630615234374,1480.1513677978517,Industrials,877583859712,1399.0,0.71,694996
HEROMOTOCO.NS,0.582551166484349,0.1520050095886658,0.0590994092172968,0.016237150479012866,205.5498046875,5599.767109375,5090.504158935547,Consumer Cyclical,1150116036608,5748.0,3.02,596029
HEXT.NS,-0.41540121532005775,-0.39689971861416506,-0.31904521781601847,0.024936668479552313,-263.5,669.9519982910156,738.019333190918,Technology,289439350784,475.0,4.87,1123893
HSCL.NS,0.14511739724336414,0.08185691971207668,0.046988592287540695,0.02180995977458643,9.699981689453125,470.377001953125,469.3281787109375,Basic Materials,243375849472,481.75,0.12,1292294
HINDALCO.NS,0.4876877853288206,0.3258043491850751,-0.030438384101489052,0.017067460086250447,-1.35003662109375,925.78400390625,777.7646188354493,Basic Materials,2085289197568,932.65,0.53,5852969
HAL.NS,0.24107088584801276,-0.07426280824963401,-0.13173806087602585,0.018892097393944894,-414.407958984375,4285.892124023438,4577.091380615235,Industrials,2658380546048,3975.0,1.25,1327024
HINDCOPPER.NS,1.7733823293694286,1.565529606425046,-0.14449735587907694,0.03467952627120218,25.2987060546875,553.3418395996093,353.49010940551756,Basic Materials,567088250880,586.2,0.42,38235642
HINDPETRO.NS,0.48375168758283305,0.180839160563811,0.0288055920210041,0.018875689372895063,-18.600006103515625,454.6640008544922,429.2746923828125,Energy,933688442880,438.8,3.49,4237222
HINDUNILVR.NS,0.06198912616817047,-0.1129777908772849,-0.013527221936894226,0.011832490963838715,-19.5,2357.3159912109377,2419.6981005859375,Consumer Defensive,5504716767232,2342.5,1.8,1533822
HINDZINC.NS,0.5236936617141849,0.4672630278212582,-0.021241011274363564,0.02352567663161783,-22.5999755859375,627.9839953613281,503.9058427429199,Basic Materials,2598571081728,615.0,4.76,15684066
POWERINDIA.NS,1.2135640007591613,0.3392464678178964,0.35685505248648075,0.029620682275020266,9379.0,19783.44,19383.448540039062,Industrials,1140781744128,25575.0,0.02,168965
HOMEFIRST.NS,0.2485271541148865,-0.05530939255242858,-0.02333078912293093,0.026248757986007714,67.7999267578125,1133.327998046875,1219.700516357422,Financial Services,119992664064,1151.5,0.31,525465
HONASA.NS,0.36923905238775995,0.04552431748854433,0.10946263554149845,0.02319409543030425,20.70001220703125,286.3310021972656,288.63150062561033,Consumer Defensive,99760676864,306.5,,1391723
HONAUT.NS,-0.07869719712652591,-0.20235806740997053,-0.06756554307116105,0.014424683604350617,-2845.0,32682.3,36131.99359375,Industrials,275374047232,31125.0,0.34,6636
HUDCO.NS,0.11122258755921031,-0.06900624197958301,-0.01552731530362925,0.021643072952026443,-26.438766479492188,205.3983724975586,218.84462966918946,Financial Services,375015931904,187.33,2.84,4425216
